constructorResultsId,raceId,constructorId,points,status
3,18,3,9,\N
20,19,3,0,\N
28,20,3,1,\N
39,21,3,2,\N
50,22,3,1,\N
61,23,3,2,\N
72,24,3,0,\N
83,25,3,0,\N
91,26,3,1,\N
101,27,3,0,\N
112,28,3,0,\N
120,29,3,1,\N
132,30,3,0,\N
142,31,3,0,\N
146,32,3,9,\N
161,33,3,0,\N
173,34,3,0,\N
182,35,3,0,\N
189,36,3,2,\N
201,37,3,0,\N
212,38,3,0,\N
222,39,3,3,\N
233,40,3,2,\N
242,41,3,6,\N
257,42,3,0,\N
267,43,3,0,\N
279,44,3,0,\N
287,45,3,5,\N
299,46,3,2,\N
310,47,3,2,\N
320,48,3,3,\N
331,49,3,3,\N
349,50,3,0,\N
357,51,3,0,\N
363,52,3,5,\N
376,53,3,5,\N
393,54,3,0,\N
404,55,3,0,\N
408,56,3,3,\N
420,57,3,2,\N
432,58,3,0,\N
448,59,3,0,\N
453,60,3,0,\N
468,61,3,0,\N
477,62,3,0,\N
489,63,3,0,\N
500,64,3,0,\N
514,65,3,0,\N
520,66,3,0,\N
532,67,3,0,\N
542,68,3,1,\N
554,69,3,0,\N
569,70,3,0,\N
573,71,3,4,\N
582,72,3,6,\N
593,73,3,3,\N
605,74,3,5,\N
613,75,3,3,\N
620,76,3,14,\N
629,77,3,8,\N
641,78,3,4,\N
655,79,3,0,\N
665,80,3,0,\N
674,81,3,0,\N
685,82,3,0,\N
692,83,3,5,\N
707,84,3,0,\N
711,85,3,2,\N
721,86,3,5,\N
737,87,3,0,\N
740,88,3,5,\N
753,89,3,2,\N
760,90,3,9,\N
769,91,3,8,\N
781,92,3,2,\N
790,93,3,8,\N
801,94,3,3,\N
811,95,3,5,\N
823,96,3,1,\N
836,97,3,0,\N
846,98,3,0,\N
852,99,3,1,\N
861,100,3,4,\N
872,101,3,6,\N
880,102,3,7,\N
895,103,3,0,\N
900,104,3,6,\N
912,105,3,4,\N
919,106,3,10,\N
928,107,3,14,\N
939,108,3,9,\N
951,109,3,5,\N
963,110,3,2,\N
970,111,3,7,\N
980,112,3,9,\N
991,113,3,3,\N
998,114,3,15,\N
1009,115,3,14,\N
1018,116,3,18,\N
1028,117,3,18,\N
1039,118,3,8,\N
1048,119,3,10,\N
1060,120,3,11,\N
1069,121,3,12,\N
1082,122,3,3,\N
1095,123,3,0,\N
1099,124,3,6,\N
1109,125,3,16,\N
1121,126,3,8,\N
1132,127,3,7,\N
1143,128,3,6,\N
1154,129,3,7,\N
1166,130,3,4,\N
1179,131,3,0,\N
1188,132,3,3,\N
1198,133,3,4,\N
1210,134,3,5,\N
1220,135,3,10,\N
1231,136,3,4,\N
1241,137,3,6,\N
1259,138,3,0,\N
1262,139,3,3,\N
1272,140,3,3,\N
1290,141,3,0,\N
1294,142,3,2,\N
1310,143,3,0,\N
1313,144,3,10,\N
1325,145,3,6,\N
1343,146,3,0,\N
1354,147,3,0,\N
1357,148,3,10,\N
1369,149,3,9,\N
1380,150,3,6,\N
1392,151,3,3,\N
1401,152,3,10,\N
1414,153,3,3,\N
1427,154,3,0,\N
1434,155,3,14,\N
1454,156,3,0,\N
1457,157,3,7,\N
1468,158,3,4,\N
1481,159,3,3,\N
1498,160,3,0,\N
1502,161,3,5,\N
1513,162,3,3,\N
1529,163,3,0,\N
1542,164,3,0,\N
1551,165,3,0,\N
1558,166,3,2,\N
1569,167,3,2,\N
1579,168,3,3,\N
1590,169,3,2,\N
1601,170,3,6,\N
1612,171,3,4,\N
1630,172,3,0,\N
1634,173,3,2,\N
1653,174,3,0,\N
1656,175,3,4,\N
1668,176,3,3,\N
1684,177,3,0,\N
1692,178,3,0,\N
1700,179,3,2,\N
1712,180,3,3,\N
1723,181,3,3,\N
1733,182,3,4,\N
1752,183,3,0,\N
1755,184,3,3,\N
1770,185,3,0,\N
1778,186,3,2,\N
1787,187,3,6,\N
1799,188,3,3,\N
1815,189,3,0,\N
1822,190,3,2,\N
1831,191,3,6,\N
1844,192,3,2,\N
1857,193,3,0,\N
1865,194,3,5,\N
1878,195,3,1,\N
1889,196,3,2,\N
1902,197,3,0,\N
1909,198,3,3,\N
1922,199,3,0,\N
1932,200,3,1,\N
1941,201,3,4,\N
1953,202,3,6,\N
1964,203,3,3,\N
1977,204,3,0,\N
1986,205,3,2,\N
1998,206,3,3,\N
2011,207,3,0,\N
2018,208,3,10,\N
2029,209,3,10,\N
2040,210,3,10,\N
2058,211,3,0,\N
2062,212,3,10,\N
2076,213,3,3,\N
2085,214,3,9,\N
2095,215,3,10,\N
2115,216,3,0,\N
2117,217,3,10,\N
2130,218,3,6,\N
2141,219,3,6,\N
2150,220,3,14,\N
2161,221,3,14,\N
2173,222,3,6,\N
2184,223,3,5,\N
2194,224,3,16,\N
2205,225,3,10,\N
2216,226,3,16,\N
2227,227,3,13,\N
2238,228,3,10,\N
2254,229,3,0,\N
2262,230,3,4,\N
2271,231,3,16,\N
2282,232,3,16,\N
2293,233,3,10,\N
2304,234,3,14,\N
2314,235,3,16,\N
2325,236,3,8,\N
2339,237,3,0,\N
2344,238,3,16,\N
2354,239,3,10,\N
2365,240,3,6,\N
2377,241,3,10,\N
2390,242,3,13,\N
2405,243,3,3,\N
2417,244,3,6,\N
2437,245,3,0,\N
2442,246,3,10,\N
2455,247,3,4,\N
2466,248,3,6,\N
2477,249,3,16,\N
2490,250,3,6,\N
2510,251,3,0,\N
2513,252,3,14,\N
2527,253,3,4,\N
2538,254,3,10,\N
2557,255,3,0,\N
2561,256,3,10,\N
2574,257,3,6,\N
2598,258,3,0,\N
2606,259,3,1,\N
2627,260,3,0,\N
2629,261,3,10,\N
2644,262,3,8,\N
2658,263,3,6,\N
2671,264,3,12,\N
2689,265,3,0,\N
2700,266,3,6,\N
2713,267,3,13,\N
2727,268,3,11,\N
2741,269,3,16,\N
2756,270,3,6,\N
2769,271,3,13,\N
2783,272,3,10,\N
2797,273,3,10,\N
2811,274,3,6,\N
2824,275,3,10,\N
2836,276,3,10,\N
2849,277,3,10,\N
2863,278,3,9,\N
2875,279,3,14,\N
2888,280,3,16,\N
2901,281,3,10,\N
2914,282,3,10,\N
2927,283,3,10,\N
2940,284,3,14,\N
2953,285,3,10,\N
2967,286,3,10,\N
2980,287,3,9,\N
2992,288,3,10,\N
3003,289,3,16,\N
3019,290,3,16,\N
3034,291,3,16,\N
3049,292,3,10,\N
3065,293,3,16,\N
3082,294,3,10,\N
3107,295,3,0,\N
3113,296,3,16,\N
3128,297,3,16,\N
3144,298,3,10,\N
3161,299,3,6,\N
3177,300,3,10,\N
3193,301,3,2,\N
3205,302,3,10,\N
3218,303,3,10,\N
3242,304,3,0,\N
3255,305,3,0,\N
3263,306,3,6,\N
3292,307,3,0,\N
3299,308,3,6,\N
3318,309,3,5,\N
3334,310,3,16,\N
3352,311,3,12,\N
3370,312,3,10,\N
3388,313,3,16,\N
3407,314,3,10,\N
3426,315,3,2,\N
3442,316,3,10,\N
3460,317,3,10,\N
3478,318,3,14,\N
3496,319,3,4,\N
3513,320,3,4,\N
3531,321,3,4,\N
3550,322,3,2,\N
3567,323,3,9,\N
3588,324,3,3,\N
3617,325,3,0,\N
3627,326,3,2,\N
3647,327,3,1,\N
3663,328,3,6,\N
3684,329,3,3,\N
3700,330,3,12,\N
3732,331,3,0,\N
3739,332,3,2,\N
3758,333,3,0,\N
3775,334,3,5,\N
3793,335,3,5,\N
3810,336,3,3,\N
3827,1,3,3,\N
3838,2,3,0.5,\N
3852,3,3,0,\N
3859,4,3,0,\N
3868,5,3,1,\N
3876,6,3,3,\N
3886,7,3,4,\N
3896,8,3,4,\N
3905,9,3,5,\N
3916,10,3,5,\N
3926,11,3,4,\N
3939,12,3,1,\N
3950,13,3,0,\N
3959,14,3,0,\N
3967,15,3,4,\N
3982,16,3,0,\N
3994,356,3,0,\N
4005,357,3,3,\N
4029,358,3,0,\N
4044,359,3,6,\N
4064,360,3,7,\N
4083,361,3,15,\N
4105,362,3,4,\N
4130,363,3,0,\N
4145,364,3,3,\N
4165,365,3,4,\N
4185,366,3,3,\N
4205,367,3,7,\N
4234,368,3,0,\N
4246,369,3,2,\N
4264,370,3,10,\N
4283,371,3,13,\N
4316,372,3,0,\N
4329,373,3,0,\N
4343,374,3,1,\N
4371,375,3,0,\N
4390,376,3,0,\N
4404,377,3,0,\N
4424,378,3,0,\N
4430,379,3,6,\N
4461,380,3,0,\N
4469,381,3,1,\N
4487,382,3,0,\N
4505,383,3,0,\N
4530,384,3,0,\N
4538,385,3,8,\N
4558,386,3,1,\N
4575,387,3,3,\N
4592,388,3,7,\N
4604,389,3,9,\N
4629,390,3,0,\N
4635,391,3,6,\N
4650,392,3,8,\N
4664,393,3,15,\N
4679,394,3,15,\N
4694,395,3,9,\N
4709,396,3,9,\N
4724,397,3,15,\N
4739,398,3,13,\N
4757,399,3,4,\N
4769,400,3,12,\N
4785,401,3,15,\N
4808,402,3,0,\N
4821,403,3,0,\N
4829,404,3,9,\N
4843,405,3,6,\N
4856,406,3,6,\N
4870,407,3,3,\N
4881,408,3,9,\N
4894,409,3,13,\N
4911,410,3,2,\N
4920,411,3,13,\N
4933,412,3,15,\N
4946,413,3,13,\N
4959,414,3,13,\N
4980,415,3,0,\N
4985,416,3,15,\N
4999,417,3,13,\N
5016,418,3,5,\N
5027,419,3,6,\N
5050,420,3,0,\N
5056,421,3,2,\N
5072,422,3,2,\N
5088,423,3,0,\N
5099,424,3,4,\N
5111,425,3,9,\N
5126,426,3,6,\N
5151,427,3,0,\N
5159,428,3,1,\N
5182,429,3,0,\N
5188,430,3,1,\N
5208,431,3,0,\N
5216,432,3,9,\N
5230,433,3,13,\N
5245,434,3,15,\N
5257,435,3,9,\N
5272,436,3,6,\N
5296,437,3,0,\N
5303,438,3,3,\N
5330,439,3,0,\N
5335,440,3,1,\N
5349,441,3,1.5,\N
5374,442,3,0,\N
5379,443,3,2,\N
5391,444,3,12,\N
5418,445,3,0,\N
5433,446,3,0,\N
5448,447,3,0,\N
5456,448,3,0,\N
5478,449,3,0,\N
5491,450,3,0,\N
5503,451,3,0,\N
5510,452,3,3,\N
5525,453,3,3,\N
5541,454,3,3,\N
5555,455,3,3,\N
5568,456,3,9,\N
5586,457,3,3,\N
5599,458,3,8,\N
5614,459,3,3,\N
5634,460,3,0,\N
5648,461,3,1,\N
5665,462,3,0,\N
5686,463,3,0,\N
5698,464,3,0,\N
5716,465,3,0,\N
5726,466,3,2,\N
5738,467,3,8,\N
5764,468,3,0,\N
5772,469,3,6,\N
5796,471,3,6,\N
5816,472,3,1,\N
5832,473,3,5,\N
5850,474,3,0,\N
5863,475,3,6,\N
5881,476,3,2,\N
5897,477,3,2,\N
5913,478,3,4,\N
5929,479,3,6,\N
5945,480,3,9,\N
5968,481,3,0,\N
5983,482,3,3,\N
5996,483,3,15,\N
6012,484,3,15,\N
6029,485,3,9,\N
6046,486,3,4,\N
6061,487,3,9,\N
6079,488,3,6,\N
6098,489,3,3,\N
6118,490,3,0,\N
6130,491,3,6,\N
6155,492,3,0,\N
6166,493,3,5,\N
6181,494,3,4,\N
6197,495,3,10,\N
6221,496,3,0,\N
6230,497,3,9,\N
6247,498,3,9,\N
6264,499,3,4,\N
6280,500,3,2,\N
6302,501,3,0,\N
6308,502,3,10,\N
6322,503,3,9,\N
6337,504,3,10,\N
6352,505,3,13,\N
6367,506,3,10,\N
6381,507,3,10,\N
6397,508,3,3,\N
6409,509,3,10,\N
6422,510,3,15,\N
6436,511,3,15,\N
13699,512,3,0,\N
13688,513,3,0,\N
6485,514,3,0,\N
13709,515,3,4,\N
13734,516,3,0,\N
13749,517,3,0,\N
13757,518,3,6,\N
13773,519,3,4,\N
13787,520,3,9,\N
6604,522,3,11,\N
13832,523,3,9,\N
13848,524,3,4,\N
13864,525,3,13,\N
13890,526,3,0,\N
13400,527,3,0,\N
13414,528,3,0,\N
13425,529,3,3,\N
13446,530,3,0,\N
13468,531,3,0,\N
13484,532,3,0,\N
13503,533,3,0,\N
13524,534,3,0,\N
13533,535,3,2,\N
13573,537,3,0,\N
13609,539,3,0,\N
13623,540,3,0,\N
13631,541,3,6,\N
13653,542,3,0,\N
12903,560,3,0,\N
12579,577,3,0,\N
12597,578,3,0,\N
12608,579,3,0,\N
12783,582,3,0,\N
12797,583,3,0,\N
12812,584,3,0,\N
12861,587,3,0,\N
12876,588,3,0,\N
8310,17,3,0,\N
12567,576,3,0,\N
12630,580,3,0,\N
12647,581,3,0,\N
12837,586,3,6,\N
12833,585,3,0,\N
12896,589,3,0,\N
12955,563,3,0,\N
13562,536,3,0,\N
13593,538,3,0,\N
13817,521,3,15,\N
13905,337,3,1,\N
13917,338,3,4,\N
13931,339,3,1,\N
13942,340,3,0,\N
13954,341,3,2,\N
13969,342,3,0,\N
13980,343,3,0,\N
13991,344,3,0,\N
13998,345,3,12,\N
14011,346,3,11,\N
14026,347,3,0,\N
14035,348,3,9,\N
14052,349,3,0,\N
14060,350,3,7,\N
14072,351,3,9,\N
14085,352,3,2,\N
14097,353,3,7,\N
14108,354,3,4,\N
14123,355,3,0,\N
14138,841,3,0,\N
14151,842,3,0,\N
14159,843,3,0,\N
14172,844,3,0,\N
14184,845,3,0,\N
14194,846,3,2,\N
14207,847,3,2,\N
14220,848,3,0,\N
14232,849,3,0,\N
14244,850,3,0,\N
14256,851,3,0,\N
14266,852,3,1,\N
14279,853,3,0,\N
14290,854,3,0,\N
14303,855,3,0,\N
14314,856,3,0,\N
14329,857,3,0,\N
14338,858,3,0,\N
14352,859,3,0,\N
14364,860,3,0,\N
14372,861,3,8,\N
14383,862,3,10,\N
14402,863,3,0,\N
14403,864,3,25,\N
14421,865,3,1,\N
14434,866,3,0,\N
14446,867,3,1,\N
14456,868,3,2,\N
14471,869,3,0,\N
14479,870,3,6,\N
14494,871,3,0,\N
14505,872,3,1,\N
14522,873,3,0,\N
14530,874,3,4,\N
14544,875,3,0,\N
14553,876,3,1,\N
14564,877,3,14,\N
14577,878,3,3,\N
14595,879,3,0,\N
14604,880,3,0,\N
14614,881,3,0,\N
14626,882,3,0,\N
14635,883,3,0,\N
14648,884,3,0,\N
14659,885,3,0,\N
14669,886,3,0,\N
14680,887,3,0,\N
14692,888,3,0,\N
14700,890,3,1,\N
14714,891,3,0,\N
14724,892,3,0,\N
14735,893,3,0,\N
14745,894,3,0,\N
14758,895,3,0,\N
14768,896,3,0,\N
14778,897,3,0,\N
14789,898,3,4,\N
14802,899,3,0,\N
14812,900,3,10,\N
14824,901,3,10,\N
14833,902,3,10,\N
14845,903,3,6,\N
14855,904,3,10,\N
14869,905,3,6,\N
14880,906,3,6,\N
14887,907,3,27,\N
14898,908,3,18,\N
14909,909,3,18,\N
14922,910,3,14,\N
14932,911,3,15,\N
14942,912,3,27,\N
14955,913,3,10,\N
14966,914,3,14,\N
14975,915,3,15,\N
14989,916,3,22,\N
14997,917,3,16,\N
15006,918,3,66,\N
15017,926,3,12,\N
15026,927,3,18,\N
15036,928,3,18,\N
15046,929,3,13,\N
15056,930,3,20,\N
15072,931,3,0,\N
15075,932,3,23,\N
15085,933,3,25,\N
15096,934,3,22,\N
15111,936,3,0,\N
15118,937,3,10,\N
15127,938,3,27,\N
15138,939,3,10,\N
15147,940,3,10,\N
15158,941,3,12,\N
15175,942,3,0,\N
15177,943,3,23,\N
15188,944,3,10,\N
15201,945,3,4,\N
15211,948,3,14,\N
15224,949,3,6,\N
15233,950,3,9,\N
15243,951,3,22,\N
15254,952,3,14,\N
15269,953,3,1,\N
15276,954,3,15,\N
15288,955,3,9,\N
15302,956,3,2,\N
15312,957,3,0,\N
15323,958,3,2,\N
15334,959,3,2,\N
15345,960,3,5,\N
15354,961,3,10,\N
15370,962,3,0,\N
15376,963,3,10,\N
15388,964,3,3,\N
15400,965,3,6,\N
15410,966,3,6,\N
15424,967,3,0,\N
15432,968,3,2,\N
15442,969,3,8,\N
15456,970,3,0,\N
15462,971,3,8,\N
15474,972,3,2,\N
15488,973,3,0,\N
15494,974,3,2,\N
15504,975,3,2,\N
15511,976,3,15,\N
15525,977,3,3,\N
15535,978,3,1,\N
15548,979,3,0,\N
15555,980,3,4,\N
15564,981,3,10,\N
15576,982,3,4,\N
15585,983,3,6,\N
15595,984,3,1,\N
15605,985,3,2,\N
15614,986,3,8,\N
15623,987,3,6,\N
15636,988,3,1,\N
15647,989,3,0,\N
15658,990,3,0,\N
15667,991,3,0,\N
15676,992,3,4,\N
15688,993,3,0,\N
15699,994,3,0,\N
15709,995,3,0,\N
15718,996,3,0,\N
15728,997,3,0,\N
15737,998,3,0,\N
15749,999,3,0,\N
15759,1000,3,0,\N
15768,1001,3,0,\N
15776,1002,3,3,\N
15787,1003,3,0,\N
15798,1004,3,0,\N
15809,1005,3,0,\N
15819,1006,3,0,\N
15828,1007,3,0,\N
15839,1008,3,0,\N
15849,1009,3,0,\N
15859,1010,3,0,\N
15867,1011,3,0,\N
15879,1012,3,0,\N
15889,1013,3,0,\N
15899,1014,3,0,\N
15908,1015,3,0,\N
15919,1016,3,0,\N
15929,1017,3,0,\N
15939,1018,3,0,\N
15948,1019,3,0,\N
15958,1020,3,1,\N
15969,1021,3,0,\N
15978,1022,3,0,\N
15988,1023,3,0,\N
15999,1024,3,0,\N
16009,1025,3,0,\N
16019,1026,3,0,\N
16029,1027,3,0,\N
16039,1028,3,0,\N
16048,1029,3,0,\N
16059,1030,3,0,\N
16067,1031,3,0,\N
16078,1032,3,0,\N
16089,1033,3,0,\N
16097,1034,3,0,\N
16109,1035,3,0,\N
16119,1036,3,0,\N
16129,1037,3,0,\N
16135,1038,3,0,\N
16148,1039,3,0,\N
16159,1040,3,0,\N
16169,1041,3,0,\N
16178,1042,3,0,\N
16187,1043,3,0,\N
16198,1044,3,0,\N
16206,1045,3,0,\N
16219,1046,3,0,\N
16228,1047,3,0,\N
16238,1052,3,0,\N
16249,1053,3,0,\N
16258,1054,3,0,\N
16268,1055,3,0,\N
16278,1056,3,0,\N
16289,1057,3,0,\N
16297,1059,3,0,\N
16309,1058,3,0,\N
16316,1060,3,0,\N
16326,1061,3,0,\N
16335,1062,3,10,\N
16341,1063,3,10,\N
16358,1064,3,0,\N
16366,1065,3,2,\N
16376,1066,3,1,\N
16388,1067,3,0,\N
16397,1069,3,0,\N
16408,1070,3,0,\N
16418,1071,3,0,\N
16429,1051,3,0,\N
16438,1072,3,0,\N
16448,1073,3,0,\N
16457,1074,3,0,\N
16469,1075,3,0,\N
16477,1076,3,1,\N
16488,1077,3,0,\N
16495,1078,3,2,\N
16509,1079,3,0,\N
16518,1080,3,0,\N
16527,1081,3,0,\N
16537,1082,3,0,\N
16547,1083,3,0,\N
16557,1084,3,0,\N
16567,1085,3,0,\N
16579,1086,3,0,\N
16586,1087,3,1,\N
16597,1088,3,0,\N
16605,1089,3,2,\N
16619,1091,3,0,\N
16625,1092,3,2,\N
16639,1093,3,0,\N
16647,1094,3,0,\N
16658,1095,3,0,\N
16668,1096,3,0,\N
16676,1098,3,1,\N
16689,1099,3,0,\N
16699,1100,3,0,\N
16706,1101,3,0,\N
16718,1102,3,0,\N
16728,1104,3,0,\N
16739,1105,3,0,\N
16744,1106,3,6,\N
16756,1107,3,0,\N
16764,1108,3,4,\N
16775,1109,3,0,\N
16788,1110,3,0,\N
16796,1111,3,4,\N
16803,1112,3,6,\N
16817,1113,3,0,\N
16829,1114,3,0,\N
16837,1115,3,2,\N
16847,1116,3,3,\N
16855,1117,3,2,\N
16867,1118,3,0,\N
16876,1119,3,0,\N
16887,1120,3,0,\N
16898,1121,3,0,\N
16906,1122,3,0,\N
16916,1123,3,0,\N
16929,1124,3,0,\N
16937,1125,3,0,\N
16949,1126,3,0,\N
16959,1127,3,0,\N
16965,1128,3,2,\N
16979,1129,3,0,\N
16989,1130,3,0,\N
16998,1131,3,0,\N
17006,1132,3,2,\N